title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- Abstrak SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/Abstrak%20SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- FAQ SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/FAQ%20SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,5/SEOJK.07/2024,3 Juni 2024,Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi -- SEOJK 5-SEOJK.07-2024 Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi/SEOJK%205-SEOJK.07-2024%20Mekanisme%20Ruang%20Uji%20Coba%20dan%20Pengembangan%20Inovasi.pdf
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,5/SEOJK.07/2024,3 Juni 2024,Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi -- Abstrak SEOJK 5-SEOJK.07-2024 Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi/Abstrak%20SEOJK%205-SEOJK.07-2024%20Mekanisme%20Ruang%20Uji%20Coba%20dan%20Pengembangan%20Inovasi.pdf
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,5/SEOJK.07/2024,3 Juni 2024,Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi -- FAQ SEOJK 5-SEOJK.07-2024 Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi/FAQ%20SEOJK%205-SEOJK.07-2024%20Mekanisme%20Ruang%20Uji%20Coba%20dan%20Pengembangan%20Inovasi.pdf
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,6 Tahun 2024,2 Mei 2024,Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun- -- POJK 6 Tahun 2024 Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024/POJK%206%20Tahun%202024%20Pembiayaan%20Transaksi%20Efek%20Oleh%20Perusahaan%20Efek%20Bagi%20Nasabah%20dan%20Transaksi%20Short%20Selling%20Oleh%20Perusahaan%20Efek.pdf
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,6 Tahun 2024,2 Mei 2024,Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK- -- Abstrak POJK 6 Tahun 2024 Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024/Abstrak%20POJK%206%20Tahun%202024%20Pembiayaan%20Transaksi%20Efek%20Oleh%20Perusahaan%20Efek%20Bagi%20Nasabah%20dan%20Transaksi%20Short%20Selling%20Oleh%20Perusahaan%20Efek.pdf
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,6 Tahun 2024,2 Mei 2024,Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Ta -- FAQ POJK 6 Tahun 2024 Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024/FAQ%20POJK%206%20Tahun%202024%20Pembiayaan%20Transaksi%20Efek%20Oleh%20Perusahaan%20Efek%20Bagi%20Nasabah%20dan%20Transaksi%20Short%20Selling%20Oleh%20Perusahaan%20Efek.pdf
Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,2/SEOJK.06/2024,1 Mei 2024,Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat -- SEOJK 2-SEOJK.06-2024 Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat/SEOJK%202-SEOJK.06-2024%20Laporan%20Bulanan%20Badan%20Pengelola%20Tabungan%20Perumahan%20Rakyat.pdf
Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,2/SEOJK.06/2024,1 Mei 2024,Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat -- Abstrak SEOJK 2-SEOJK.06-2024 Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat/Abstrak%20SEOJK%202-SEOJK.06-2024%20Laporan%20Bulanan%20Badan%20Pengelola%20Tabungan%20Perumahan%20Rakyat.pdf
